Adjetives_Verbs,Nouns_Dependent,Adjetive_Type
mécontent*.,retraite* ,Negative
negatif,retraite* ,Negative
opposé,retraite* ,Negative
pas assez,retraite* ,Negative
pessimiste,retraite* ,Negative
pire,retraite* ,Negative
sans,retraite* ,Negative
soucieux,retraite* ,Negative
subir*,retraite* ,Negative
allarmé ,revenu disponible ,Negative
baisse,revenu disponible ,Negative
blesser,revenu disponible ,Negative
bouleversé,revenu disponible ,Negative
craintif,revenu disponible ,Negative
craintif,revenu disponible ,Negative
décliner*,revenu disponible ,Negative
déçu,revenu disponible ,Negative
défavoriser,revenu disponible ,Negative
désapprouver,revenu disponible ,Negative
désservir ,revenu disponible ,Negative
diminuer,revenu disponible ,Negative
en colère,revenu disponible ,Negative
en désaccord,revenu disponible ,Negative
endommagé*,revenu disponible ,Negative
faible*,revenu disponible ,Negative
frustrer,revenu disponible ,Negative
gêner,revenu disponible ,Negative
indigné,revenu disponible ,Negative
inquiet,revenu disponible ,Negative
insatisfait,revenu disponible ,Negative
insuffisant,revenu disponible ,Negative
manifesté,revenu disponible ,Negative
manque de,revenu disponible ,Negative
mécontent*.,revenu disponible ,Negative
negatif,revenu disponible ,Negative
opposé,revenu disponible ,Negative
pas assez,revenu disponible ,Negative
pessimiste,revenu disponible ,Negative
pire,revenu disponible ,Negative
sans,revenu disponible ,Negative
soucieux,revenu disponible ,Negative
subir*,revenu disponible ,Negative
aider,citoyen *,Positive
améliorer,citoyen *,Positive
assurer,citoyen *,Positive
augmenter*,citoyen *,Positive
avantageux*,citoyen *,Positive
content ,citoyen *,Positive
coopérer ,citoyen *,Positive
croitre,citoyen *,Positive
élevé*,citoyen *,Positive
encourager,citoyen *,Positive
favoriser,citoyen *,Positive
fortifier,citoyen *,Positive
généreux*,citoyen *,Positive
grandir,citoyen *,Positive
hausse,citoyen *,Positive
heureux,citoyen *,Positive
lever,citoyen *,Positive
monter,citoyen *,Positive
optimiste,citoyen *,Positive
positif,citoyen *,Positive
privilégier,citoyen *,Positive
protéger*,citoyen *,Positive
rassasié,citoyen *,Positive
rassurer,citoyen *,Positive
reconfort,citoyen *,Positive
renforcer*,citoyen *,Positive
satsifait ,citoyen *,Positive
sécuriser,citoyen *,Positive
servir,citoyen *,Positive
solidifier,citoyen *,Positive
soutenir,citoyen *,Positive
stimuler,citoyen *,Positive
unis,citoyen *,Positive
aider,contribuable*,Positive
améliorer,contribuable*,Positive
assurer,contribuable*,Positive
augmenter*,contribuable*,Positive
avantageux*,contribuable*,Positive
content ,contribuable*,Positive
coopérer ,contribuable*,Positive
croitre,contribuable*,Positive
élevé*,contribuable*,Positive
encourager,contribuable*,Positive
favoriser,contribuable*,Positive
fortifier,contribuable*,Positive
généreux*,contribuable*,Positive
grandir,contribuable*,Positive
hausse,contribuable*,Positive
heureux,contribuable*,Positive
lever,contribuable*,Positive
monter,contribuable*,Positive
optimiste,contribuable*,Positive
positif,contribuable*,Positive
privilégier,contribuable*,Positive
protéger*,contribuable*,Positive
rassasié,contribuable*,Positive
rassurer,contribuable*,Positive
reconfort,contribuable*,Positive
renforcer*,contribuable*,Positive
