Adjetives_Verbs,Nouns_Dependent,Adjetive_Type
concerned,disposable income ,Negative
damage*,disposable income ,Negative
declin*,disposable income ,Negative
decreas*,disposable income ,Negative
diminish,disposable income ,Negative
disagreeing,disposable income ,Negative
disapprove,disposable income ,Negative
disillusioned,disposable income ,Negative
displease*,disposable income ,Negative
dissatisfied,disposable income ,Negative
fearful,disposable income ,Negative
frustrate,disposable income ,Negative
hinder,disposable income ,Negative
hurt*,disposable income ,Negative
injure,disposable income ,Negative
insufficient,disposable income ,Negative
low*,disposable income ,Negative
not enough,disposable income ,Negative
opposing,disposable income ,Negative
pessimistic,disposable income ,Negative
protest,disposable income ,Negative
small*,disposable income ,Negative
suffer*,disposable income ,Negative
upset,disposable income ,Negative
weak*,disposable income ,Negative
worried,disposable income ,Negative
worse,disposable income ,Negative
angry,electorate,Negative
concerned,electorate,Negative
damage*,electorate,Negative
declin*,electorate,Negative
decreas*,electorate,Negative
diminish,electorate,Negative
disagreeing,electorate,Negative
disapprove,electorate,Negative
disillusioned,electorate,Negative
displease*,electorate,Negative
dissatisfied,electorate,Negative
fearful,electorate,Negative
frustrate,electorate,Negative
hinder,electorate,Negative
hurt*,electorate,Negative
injure,electorate,Negative
insufficient,electorate,Negative
low*,electorate,Negative
not enough,electorate,Negative
opposing,electorate,Negative
pessimistic,electorate,Negative
protest,electorate,Negative
small*,electorate,Negative
suffer*,electorate,Negative
upset,electorate,Negative
weak*,electorate,Negative
worried,electorate,Negative
worse,electorate,Negative
angry,household*,Negative
concerned,household*,Negative
damage*,household*,Negative
declin*,household*,Negative
decreas*,household*,Negative
diminish,household*,Negative
disagreeing,household*,Negative
disapprove,household*,Negative
disillusioned,household*,Negative
displease*,household*,Negative
dissatisfied,household*,Negative
fearful,household*,Negative
frustrate,household*,Negative
hinder,household*,Negative
hurt*,household*,Negative
injure,household*,Negative
insufficient,household*,Negative
low*,household*,Negative
not enough,household*,Negative
opposing,household*,Negative
pessimistic,household*,Negative
protest,household*,Negative
small*,household*,Negative
suffer*,household*,Negative
upset,household*,Negative
weak*,household*,Negative
worried,household*,Negative
worse,household*,Negative
angry,pension* ,Negative
concerned,pension* ,Negative
damage*,pension* ,Negative
declin*,pension* ,Negative
decreas*,pension* ,Negative
diminish,pension* ,Negative
disagreeing,pension* ,Negative
disapprove,pension* ,Negative
disillusioned,pension* ,Negative
displease*,pension* ,Negative
dissatisfied,pension* ,Negative
fearful,pension* ,Negative
frustrate,pension* ,Negative
hinder,pension* ,Negative
hurt*,pension* ,Negative
injure,pension* ,Negative
insufficient,pension* ,Negative
low*,pension* ,Negative
not enough,pension* ,Negative
opposing,pension* ,Negative
pessimistic,pension* ,Negative
protest,pension* ,Negative
small*,pension* ,Negative
suffer*,pension* ,Negative
upset,pension* ,Negative
weak*,pension* ,Negative
worried,pension* ,Negative
worse,pension* ,Negative
angry,saver*,Negative
concerned,saver*,Negative
damage*,saver*,Negative
declin*,saver*,Negative
decreas*,saver*,Negative
diminish,saver*,Negative
disagreeing,saver*,Negative
disapprove,saver*,Negative
disillusioned,saver*,Negative
displease*,saver*,Negative
dissatisfied,saver*,Negative
fearful,saver*,Negative
frustrate,saver*,Negative
hinder,saver*,Negative
hurt*,saver*,Negative
injure,saver*,Negative
insufficient,saver*,Negative
low*,saver*,Negative
not enough,saver*,Negative
opposing,saver*,Negative
pessimistic,saver*,Negative
protest,saver*,Negative
small*,saver*,Negative
suffer*,saver*,Negative
upset,saver*,Negative
weak*,saver*,Negative
worried,saver*,Negative
worse,saver*,Negative
angry,saving* ,Negative
concerned,saving* ,Negative
damage*,saving* ,Negative
declin*,saving* ,Negative
decreas*,saving* ,Negative
diminish,saving* ,Negative
disagreeing,saving* ,Negative
disapprove,saving* ,Negative
disillusioned,saving* ,Negative
displease*,saving* ,Negative
dissatisfied,saving* ,Negative
fearful,saving* ,Negative
frustrate,saving* ,Negative
hinder,saving* ,Negative
hurt*,saving* ,Negative
injure,saving* ,Negative
insufficient,saving* ,Negative
low*,saving* ,Negative
not enough,saving* ,Negative
opposing,saving* ,Negative
pessimistic,saving* ,Negative
protest,saving* ,Negative
small*,saving* ,Negative
suffer*,saving* ,Negative
upset,saving* ,Negative
weak*,saving* ,Negative
worried,saving* ,Negative
worse,saving* ,Negative
angry,taxp*,Negative
concerned,taxp*,Negative
damage*,taxp*,Negative
declin*,taxp*,Negative
decreas*,taxp*,Negative
diminish,taxp*,Negative
disagreeing,taxp*,Negative
disapprove,taxp*,Negative
disillusioned,taxp*,Negative
displease*,taxp*,Negative
dissatisfied,taxp*,Negative
fearful,taxp*,Negative
frustrate,taxp*,Negative
hinder,taxp*,Negative
hurt*,taxp*,Negative
injure,taxp*,Negative
insufficient,taxp*,Negative
low*,taxp*,Negative
not enough,taxp*,Negative
opposing,taxp*,Negative
pessimistic,taxp*,Negative
protest,taxp*,Negative
small*,taxp*,Negative
suffer*,taxp*,Negative
upset,taxp*,Negative
weak*,taxp*,Negative
worried,taxp*,Negative
worse,taxp*,Negative
,civic solidarity ,Positive
,civic unity,Positive
,civil peace,Positive
,cohesive societ*,Positive
,common weal*,Positive
,commonweal*,Positive
,peace and quiet,Positive
,public stability ,Positive
,public tranquility,Positive
,social balance,Positive
,social cohesi*,Positive
,social harmony,Positive
,social prosberity,Positive
,social solidarity,Positive
,social stability ,Positive
,breakdown of civil,Negative
,civil conflict*,Negative
,civil unrest,Negative
,civil upheaval,Negative
,disruption of public order,Negative
,political upheaval,Negative
,public disturbance,Negative
,public indignation,Negative
,social chaos,Negative
,social discontent,Negative
,social ills,Negative
,social inequalit*,Negative
,social insecurit*,Negative
,social instabilit*,Negative
,social strife ,Negative
,social tension*,Negative
,social unrest,Negative
,social upheaval,Negative
